Player.NHL,Mid.Age,Season,Season.N,Position,Position.N,Team,GP,Total.TOI,EV.TOI,G,A1,A2,Points,Tango,ixG,FO.Diff,iPENT,iPEND,RelCF60,RelCA60,RelCDiff,Total.GS
ALEX.GRANT,27,20152016,9,D,2,ARI,5,65.05,57.44,0,0,0,0,10,0.32,0,2,0,-0.19,-3.15,2.96,-0.52
ALEX.HENRY,29,20082009,2,D,2,MTL,2,13.13,12.48,0,0,0,0,0,0,0,2,1,-29.66,57.32,-86.98,-1.15
ALEX.KHOKHLACHEV,20,20132014,7,C,1,BOS,1,15.24,14.62,0,0,0,0,2,0.18,-1,1,1,3.18,3.16,0.02,-0.11
ALEX.KHOKHLACHEV,21,20142015,8,C,1,BOS,3,24.58,21.25,0,0,0,0,1,0.07,1,0,0,-20.66,-2.47,-18.19,-0.49
ALEX.KHOKHLACHEV,22,20152016,9,C,1,BOS,5,51.29,51.24,0,0,0,0,10,0.22,-2,0,1,-0.33,-12.74,12.41,0.41
ALEX.KILLORN,23,20122013,6,C,1,T.B,38,637.54,495.53,7,7,5,19,128,7.88,-6,7,7,-1.71,-3.31,1.6,16.97
ALEX.KILLORN,24,20132014,7,C,1,T.B,82,1373,1116.09,18,9,15,42,286,16.25,-24,24,17,1.56,-0.98,2.54,47.31
ALEX.KILLORN,25,20142015,8,C,1,T.B,71,1199.56,920.64,15,13,10,38,210,13.99,-10,19,19,1.85,-2.89,4.74,46.58
ALEX.KILLORN,26,20152016,9,C,1,T.B,81,1357.91,1060.96,14,18,8,40,264,16.39,-18,22,21,1.92,-0.99,2.91,48.57
ALEX.KILLORN,27,20162017,10,C,1,T.B,81,1455.5,1059.03,19,11,6,36,278,16.14,-4,30,17,0.42,-0.07,0.49,38.87
ALEX.KOVALEV,34,20072008,1,R,1,MTL,82,1595.86,1038.97,35,27,22,84,358,21.66,6,33,42,3.21,-1.75,4.96,77.38
ALEX.KOVALEV,35,20082009,2,R,1,MTL,78,1502.37,969.61,26,20,19,65,370,23.67,-18,36,32,0.53,0.26,0.27,56.16
ALEX.KOVALEV,36,20092010,3,R,1,OTT,77,1386.22,1047.31,18,20,11,49,311,18.37,-1,25,25,1.41,5.54,-4.13,46.97
ALEX.KOVALEV,37,20102011,4,R,1,OTT/PIT,74,1219.1,943.51,16,12,6,34,288,15.26,-4,17,9,0.91,5.39,-4.48,33.28
ALEX.KOVALEV,40,20122013,6,R,1,FLA,14,217.04,165.63,2,2,1,5,42,1.91,-1,3,2,3.3,-4.72,8.02,4.31
ALEX.NYLANDER,#VALUE!,20162017,10,L,1,BUF,4,49.72,46.61,0,1,0,1,8,0.15,-2,0,0,12.73,10.13,2.6,0.75
ALEX.OVECHKIN,22,20072008,1,L,1,WSH,82,1879.4,1288.81,65,36,11,112,841,43.09,-4,21,49,12.73,2.26,10.47,145.15
ALEX.OVECHKIN,23,20082009,2,L,1,WSH,79,1803.43,1199.58,56,32,22,110,971,49.69,-16,38,37,15.37,4.46,10.91,139.65
ALEX.OVECHKIN,24,20092010,3,L,1,WSH,72,1555.46,1104.11,50,37,22,109,772,34.31,-2,26,29,13.88,-4.02,17.9,130.96
ALEX.OVECHKIN,25,20102011,4,L,1,WSH,79,1666.74,1211.4,32,30,23,85,735,31.35,-6,22,36,10.04,1.16,8.88,99.17
ALEX.OVECHKIN,26,20112012,5,L,1,WSH,78,1537.25,1180.44,38,14,13,65,572,26.88,-3,14,26,3.3,9.71,-6.41,64.59
ALEX.OVECHKIN,27,20122013,6,L,1,WSH,48,995.78,725.4,32,13,11,56,409,21.39,-1,18,19,5.59,5.38,0.21,56.02
ALEX.OVECHKIN,28,20132014,7,L,1,WSH,78,1583.39,1110.86,51,17,11,79,716,33.34,1,24,21,9.85,5.28,4.57,79.58
ALEX.OVECHKIN,29,20142015,8,L,1,WSH,81,1640.98,1212.27,53,21,7,81,772,37.88,-1,27,28,9.93,2.42,7.51,100.18
ALEX.OVECHKIN,30,20152016,9,L,1,WSH,79,1592.42,1167.21,50,6,15,71,729,37.53,0,24,21,8.35,0.25,8.1,93.91
ALEX.OVECHKIN,31,20162017,10,L,1,WSH,82,1501.04,1123.03,33,21,16,70,591,28.95,-1,25,19,5.18,10.18,-5,78.95
ALEX.PETROVIC,21,20122013,6,D,2,FLA,6,112.42,104.08,0,0,0,0,16,0.22,0,6,0,7.8,0.67,7.13,-2
ALEX.PETROVIC,21,20132014,7,D,2,FLA,7,85.64,80.11,0,1,0,1,11,0.22,0,4,2,-2.57,7.36,-9.93,0.07
ALEX.PETROVIC,22,20142015,8,D,2,FLA,33,533.56,481.34,0,0,3,3,60,1.08,0,9,5,0.95,5.56,-4.61,2.36
ALEX.PETROVIC,23,20152016,9,D,2,FLA,66,1113.87,944.61,2,9,6,17,113,1.77,0,27,12,-0.11,0.62,-0.73,17.32
ALEX.PETROVIC,24,20162017,10,D,2,FLA,49,885.69,778.09,1,5,8,14,109,1.88,0,24,9,0.39,-0.47,0.86,13.09
ALEX.PIETRANGELO,19,20082009,2,D,2,STL,8,132.09,105.45,0,0,1,1,19,0.4,0,1,0,13.17,-8.2,21.37,1.31
ALEX.PIETRANGELO,20,20092010,3,D,2,STL,9,149.13,111.89,1,0,1,2,24,0.33,0,2,1,-4.14,6.22,-10.36,-0.26
ALEX.PIETRANGELO,21,20102011,4,D,2,STL,79,1728.87,1248.45,11,13,19,43,341,8.6,0,8,12,2.67,-3.22,5.89,59.31
